SYMBOL,DATE1,PREV_CLOSE,CLOSE_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,DELIV_QTY,DELIV_PER,AVG_DELIV_10D,AVG_TURNOVER_10D,DELIV_SPIKE_X,PCT_CHG,COMPANY_NAME,DELIV_TURNOVER_CR
SHRIPISTON,2026-09-18,4385.4,4576.6,151917,6896.75,93038.0,61.24,26585.545454545456,2248.7727272727275,3.499570853608078,4.359921557896674,SPR Auto Technologies Limited,42.235697
ICEMAKE,2026-09-18,668.9,685.6,53006,361.23,38625.0,72.87,11064.90909090909,135.36545454545455,3.490765236538114,2.4966362685005303,Ice Make Refrigeration Limited,2.6322830100000005
GLAXO,2026-09-18,2799.9,2838.8,125265,3547.64,88399.0,70.57,25945.272727272728,1609.1045454545456,3.4071331964484686,1.3893353334047678,GlaxoSmithKline Pharmaceuticals Limited,25.035695479999994
HINDALCO,2026-09-18,980.5,986.5,8310236,82066.65,5716635.0,68.79,1680877.2727272727,30264.171818181818,3.4009829823712185,0.6119326874043856,Hindalco Industries Limited,564.53648535
WIPRO,2026-09-18,166.4,166.83,23606474,39004.1,13771360.0,58.34,4057899.3636363638,15682.648181818182,3.3937164936636606,0.2584134615384656,Wipro Limited,227.5499194
UNOMINDA,2026-09-18,1205.0,1284.0,1277954,15899.68,845674.0,66.17,249621.18181818182,5636.064545454546,3.387829485624217,6.556016597510374,UNO Minda Limited,105.20818256000001
FORTIS,2026-09-18,886.1,886.0,1928099,17201.31,1446880.0,75.04,428167.1818181818,7630.625454545455,3.379240776595548,-0.01128540796750059,Fortis Healthcare Limited,129.07863024000002
SBFC,2026-09-18,93.32,92.36,1954335,1811.61,1292761.0,66.15,382782.63636363635,850.180909090909,3.3772717913251977,-1.028718388341185,SBFC Finance Limited,11.983800150000002
PETRONET,2026-09-18,283.45,292.6,3218273,9296.01,2600880.0,80.82,774055.7272727273,3817.78,3.3600681557693814,3.2280825542423828,Petronet LNG Limited,75.13035282
PIIND,2026-09-18,2307.0,2366.8,558327,13094.95,417820.0,74.83,126675.90909090909,8324.442727272726,3.2983382791447036,2.592110966623328,PI Industries Limited,97.98951085
SJVN,2026-09-18,64.75,63.95,4062726,2606.56,2782267.0,68.48,846714.1818181818,1445.4381818181819,3.285957717190388,-1.2355212355212313,SJVN Limited,17.84972288
GEEKAYWIRE,2026-09-18,33.46,33.25,814069,277.96,528122.0,64.87,161534.72727272726,88.41272727272727,3.2694022450562277,-0.6276150627615088,Geekay Wires Limited,1.8031265200000002
JLHL,2026-09-18,277.75,280.05,240514,674.45,135386.0,56.29,41829.36363636364,200.58636363636361,3.236625858737772,0.8280828082808321,Jupiter Life Line Hospitals Limited,3.79647905
RADICO,2026-09-18,4380.0,4535.4,371544,16681.31,293872.0,79.09,90894.18181818182,7650.446363636364,3.2331222320460555,3.5479452054794436,Radico Khaitan Limited,131.93248079000003
HOMEFIRST,2026-09-18,1173.3,1241.3,873253,10675.48,499083.0,57.15,154531.18181818182,3027.8054545454547,3.2296588567297095,5.795619193727094,Home First Finance Company India Limited,61.0103682
