id,symbol,company,isin,sector,industry,series,listing_date,market_cap,revenue_growth,pat_growth,roce,ai_score
7172,BSLFEFS1RG,Aditya Birla Sun Life Mutual Fund,INF209KA1771,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7206,BSLFEFS2DG,Aditya Birla Sun Life Mutual Fund,INF209KA1DH0,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7207,BSLFEFS2DN,Aditya Birla Sun Life Mutual Fund,INF209KA1DI8,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7886,ABSLRIF5RG,Aditya Birla Sun Life Mutual Fund,INF209KB1IZ0,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7887,ABSLRIF5RD,Aditya Birla Sun Life Mutual Fund,INF209KB1JA1,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7888,ABSLRIF5DG,Aditya Birla Sun Life Mutual Fund,INF209KB1JB9,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7840,BSLRIFS4RG,Aditya Birla Sun Life Mutual Fund,INF209KB1HR9,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7889,ABSLRIF5DD,Aditya Birla Sun Life Mutual Fund,INF209KB1JC7,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7322,BSLFEFS3RG,Aditya Birla Sun Life Mutual Fund,INF209KA1RR9,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7970,ABSLRIF6RG,Aditya Birla Sun Life Mutual Fund,INF209KB1LL4,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7323,BSLFEFS3RN,Aditya Birla Sun Life Mutual Fund,INF209KA1RS7,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7971,ABSLRIF6RD,Aditya Birla Sun Life Mutual Fund,INF209KB1LM2,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7324,BSLFEFS3DG,Aditya Birla Sun Life Mutual Fund,INF209KA1RT5,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7325,BSLFEFS3DN,Aditya Birla Sun Life Mutual Fund,INF209KA1RU3,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7354,BSLFEFS4RG,Aditya Birla Sun Life Mutual Fund,INF209KA1UL6,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
7355,BSLFEFS4RN,Aditya Birla Sun Life Mutual Fund,INF209KA1UM4,Unknown,Unknown,EQ,,Unknown,0.0,0.0,0.0,0.0
